season,game_id,date_utc,home_team_id,away_team_id,higher_team_id,winner_team_id,higher_is_home,winner_is_home,rating_gap,snapshot_as_of_utc
2025,15907694,2024-11-26T02:00:00Z,DEN,NYK,DEN,NYK,1,0,2.7824299372023225,2024-11-26T00:00:00Z
2025,15907695,2024-11-26T03:00:00Z,GSW,BKN,GSW,BKN,1,0,4.200412886562587,2024-11-26T00:00:00Z
2025,15907699,2024-11-27T01:00:00Z,MIN,HOU,MIN,HOU,1,0,2.6764616849184018,2024-11-27T00:00:00Z
2025,15907701,2024-11-27T03:00:00Z,PHX,LAL,LAL,PHX,0,1,5.497636947804857,2024-11-27T00:00:00Z
2025,15907703,2024-11-28T00:00:00Z,CLE,ATL,CLE,ATL,1,0,7.606268311012983,2024-11-28T00:00:00Z
2025,15907708,2024-11-28T00:30:00Z,DAL,NYK,NYK,DAL,0,1,4.108909661502962,2024-11-28T00:00:00Z
2025,15907709,2024-11-28T01:00:00Z,MEM,DET,DET,MEM,0,1,1.0083806118363907,2024-11-28T00:00:00Z
2025,15907710,2024-11-28T01:00:00Z,MIN,SAC,MIN,SAC,1,0,4.754599960594039,2024-11-28T00:00:00Z
2025,15907713,2024-11-28T02:00:00Z,PHX,BKN,PHX,BKN,1,0,0.6094015887525117,2024-11-28T00:00:00Z
2025,15907717,2024-11-29T19:30:00Z,ATL,CLE,CLE,ATL,0,1,7.606268311012983,2024-11-29T00:00:00Z
2025,15907721,2024-11-30T01:00:00Z,IND,DET,IND,DET,1,0,4.346745471804651,2024-11-30T00:00:00Z
2025,15907725,2024-11-30T03:00:00Z,POR,SAC,SAC,POR,0,1,0.2755996133436154,2024-11-30T00:00:00Z
2025,15907727,2024-12-01T00:00:00Z,DET,PHI,DET,PHI,1,0,5.810681466871928,2024-12-01T00:00:00Z
2025,15907729,2024-12-01T02:00:00Z,PHX,GSW,GSW,PHX,0,1,2.956336375209455,2024-12-01T00:00:00Z
2025,15907732,2024-12-01T20:30:00Z,MEM,IND,IND,MEM,0,1,5.40587796334029,2024-12-01T00:00:00Z
2025,15907735,2024-12-01T23:00:00Z,TOR,MIA,MIA,TOR,0,1,3.8637631320880956,2024-12-01T00:00:00Z
2025,15907736,2024-12-02T00:00:00Z,HOU,OKC,OKC,HOU,0,1,5.544412147101133,2024-12-02T00:00:00Z
2025,15907738,2024-12-02T02:00:00Z,POR,DAL,POR,DAL,1,0,0.12846356185061802,2024-12-02T00:00:00Z
2025,15907740,2024-12-02T03:00:00Z,LAC,DEN,DEN,LAC,0,1,1.7423803038904002,2024-12-02T00:00:00Z
2025,15907749,2024-12-04T00:30:00Z,TOR,IND,IND,TOR,0,1,6.022344081236472,2024-12-04T00:00:00Z
2025,15907751,2024-12-04T01:30:00Z,DAL,MEM,MEM,DAL,0,1,0.4366562014210964,2024-12-04T00:00:00Z
2025,15907752,2024-12-04T02:00:00Z,PHX,SAS,SAS,PHX,0,1,0.21935070167598836,2024-12-04T00:00:00Z
2025,15907754,2024-12-04T03:00:00Z,SAC,HOU,HOU,SAC,0,1,2.2925892873402702,2024-12-04T00:00:00Z
2025,15907757,2024-12-05T00:30:00Z,BKN,IND,IND,BKN,0,1,6.529428403346692,2024-12-05T00:00:00Z
2025,15907758,2024-12-05T00:30:00Z,MIA,LAL,LAL,MIA,0,1,2.2792291491217123,2024-12-05T00:00:00Z
2025,15907760,2024-12-05T01:00:00Z,MIL,ATL,MIL,ATL,1,0,3.789298204697213,2024-12-05T00:00:00Z
2025,15907767,2024-12-06T01:00:00Z,NOP,PHX,PHX,NOP,0,1,5.206334147317277,2024-12-06T00:00:00Z
2025,15907770,2024-12-07T00:00:00Z,PHI,ORL,ORL,PHI,0,1,6.895369762253005,2024-12-07T00:00:00Z
2025,15907771,2024-12-07T00:30:00Z,ATL,LAL,LAL,ATL,0,1,3.4275227591496473,2024-12-07T00:00:00Z
2025,15907776,2024-12-07T03:00:00Z,POR,UTA,POR,UTA,1,0,2.289764881837769,2024-12-07T00:00:00Z
2025,15907778,2024-12-08T00:00:00Z,WAS,DEN,DEN,WAS,0,1,10.73353164954275,2024-12-08T00:00:00Z
2025,15907780,2024-12-08T00:30:00Z,NYK,DET,NYK,DET,1,0,2.6664154366004214,2024-12-08T00:00:00Z
2025,15907782,2024-12-08T01:00:00Z,BOS,MEM,BOS,MEM,1,0,7.415963501060505,2024-12-08T00:00:00Z
2025,15907784,2024-12-08T18:00:00Z,CHI,PHI,CHI,PHI,1,0,5.83590900245534,2024-12-08T00:00:00Z
2025,15907786,2024-12-08T22:00:00Z,IND,CHA,IND,CHA,1,0,10.272883386541304,2024-12-08T00:00:00Z
2025,15907788,2024-12-08T23:00:00Z,MIA,CLE,CLE,MIA,0,1,5.518595620873703,2024-12-08T00:00:00Z
2025,15907792,2024-12-09T01:30:00Z,GSW,MIN,MIN,GSW,0,1,2.8216177468323735,2024-12-09T00:00:00Z
2025,15907793,2024-12-09T02:00:00Z,LAC,HOU,LAC,HOU,1,0,2.1837288029825377,2024-12-09T00:00:00Z
2025,16968272,2024-12-12T00:00:00Z,NYK,ATL,NYK,ATL,1,0,2.267325205353786,2024-12-12T00:00:00Z
2025,16968273,2024-12-12T02:30:00Z,HOU,GSW,GSW,HOU,0,1,0.0048394511654017425,2024-12-12T00:00:00Z
2025,17136020,2024-12-16T01:30:00Z,GSW,DAL,GSW,DAL,1,0,2.5197070319150248,2024-12-16T00:00:00Z
