date,game_id,away_team,home_team,market_spread,model_spread,spread_edge,market_total,model_total,total_edge,away_score,home_score,actual_margin,actual_total,predicted_margin,predicted_total,spread_residual,total_residual,wrong_spread,wrong_total,blowout_flag,clutch_flag,pace_outlier_flag,efficiency_outlier_flag,home_adv_miss_flag,back_to_back_flag,reason_codes,spread_reason_codes,total_reason_codes
2025-12-27,18447248,PHX,NOP,8.5,-7.753412840941284,-16.253412840941284,231.5,234.3427008554501,2.84270085545009,123,114,-9.0,237.0,7.753412840941284,234.3427008554501,-16.753412840941284,2.65729914454991,True,False,False,False,False,False,False,True,back_to_back,back_to_back,
2025-12-29,18447263,GSW,BKN,6.5,-6.657202009598922,-13.157202009598922,226.5,232.2594898567748,5.759489856774792,0,0,0.0,0.0,6.657202009598922,232.2594898567748,-6.657202009598922,-232.2594898567748,,True,False,True,True,True,False,True,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-29,18447266,MIN,CHI,6.5,-6.434054695867763,-12.934054695867763,243.5,251.20730146984846,7.70730146984846,0,0,0.0,0.0,6.434054695867763,251.20730146984846,-6.434054695867763,-251.20730146984846,,True,False,True,True,True,False,False,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-29,18447271,DAL,POR,-2.5,-2.638094104794683,-0.13809410479468287,232.5,245.38548977786672,12.885489777866724,0,0,0.0,0.0,2.638094104794683,245.38548977786672,-2.638094104794683,-245.38548977786672,,True,False,True,True,True,False,True,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-27,18447246,DAL,SAC,-5.5,5.934637123685286,11.434637123685286,222.5,221.12503774875432,-1.3749622512456767,107,113,6.0,220.0,-5.934637123685286,221.12503774875432,11.934637123685286,-1.1250377487543233,True,False,False,False,False,False,False,False,,,
2025-12-25,18447232,CLE,NYK,-5.5,5.728588856739053,11.228588856739053,245.5,242.5626971160167,-2.937302883983307,124,126,2.0,250.0,-5.728588856739053,242.5626971160167,7.728588856739053,7.437302883983307,True,True,False,True,False,False,False,False,clutch,clutch,
2025-12-27,18447251,MIL,CHI,5.5,-4.800507391421531,-10.300507391421531,213.5,203.08170371333577,-10.41829628666423,112,103,-9.0,215.0,4.800507391421531,203.08170371333577,-13.800507391421531,11.91829628666423,True,True,False,False,False,False,False,True,back_to_back,back_to_back,
2025-12-28,18447258,BOS,POR,-2.5,4.902004166587178,7.402004166587178,221.5,211.86808790285428,-9.631912097145715,108,114,6.0,222.0,-4.902004166587178,211.86808790285428,10.902004166587178,10.131912097145715,True,True,False,False,False,False,False,False,,,
2025-12-26,18447243,PHX,NOP,4.5,-3.6109096995084577,-8.110909699508458,241.5,245.3691167632384,3.869116763238395,115,108,-7.0,223.0,3.6109096995084577,245.3691167632384,-10.610909699508458,-22.369116763238395,True,True,False,False,False,False,False,False,,,
2025-12-27,18447249,NYK,ATL,1.5,-6.206728255165391,-7.706728255165391,253.5,248.47238117075787,-5.0276188292421296,128,125,-3.0,253.0,6.206728255165391,248.47238117075787,-9.206728255165391,4.5276188292421296,True,False,False,True,False,False,False,True,back_to_back|clutch,back_to_back|clutch,
2025-12-28,18447257,MEM,WAS,-3.5,4.15652887892449,7.65652887892449,231.5,229.84885215121616,-1.651147848783836,112,116,4.0,228.0,-4.15652887892449,229.84885215121616,8.15652887892449,-1.848852151216164,True,False,False,False,False,False,False,False,,,
2025-12-26,18447241,PHI,CHI,-3.5,3.2948356209905603,6.79483562099056,218.5,216.7651125788392,-1.7348874211608063,102,109,7.0,211.0,-3.2948356209905603,216.7651125788392,10.294835620990561,-5.765112578839194,True,False,False,False,False,False,False,False,,,
2025-12-26,18447244,DET,UTA,-2.5,0.8240209144204886,3.3240209144204886,261.5,255.83754057194957,-5.6624594280504255,129,131,2.0,260.0,-0.8240209144204886,255.83754057194957,2.8240209144204886,4.1624594280504255,True,False,False,True,False,False,True,False,home_adv_miss|clutch,home_adv_miss|clutch,
2025-12-25,18447236,MIN,DEN,-1.5,3.8510243814430964,5.3510243814430964,258.5,262.07667815583716,3.5766781558371576,138,142,4.0,280.0,-3.8510243814430964,262.07667815583716,7.8510243814430964,17.923321844162842,True,False,False,False,False,False,False,False,,,
2025-12-28,18447259,DET,LAC,3.5,-1.5024332556629307,-5.002433255662931,224.5,220.36382475155935,-4.136175248440651,99,112,13.0,211.0,1.5024332556629307,220.36382475155935,11.49756674433707,-9.36382475155935,False,False,False,False,False,False,False,False,,,
2025-12-29,18447264,DEN,MIA,1.5,-3.060094641636028,-4.560094641636028,244.5,242.197938783206,-2.3020612167939873,0,0,0.0,0.0,3.060094641636028,242.197938783206,-3.060094641636028,-242.197938783206,,False,False,True,True,True,False,False,,,
2025-12-29,18447265,ORL,TOR,1.5,-2.775002367046845,-4.275002367046845,220.5,218.88548268996576,-1.6145173100342447,0,0,0.0,0.0,2.775002367046845,218.88548268996576,-2.775002367046845,-218.88548268996576,,False,False,True,True,True,False,True,,,
2025-12-29,18447261,MIL,CHA,3.5,2.4399926837810675,-1.0600073162189325,227.5,227.27058189656762,-0.2294181034323799,0,0,0.0,0.0,-2.4399926837810675,227.27058189656762,2.4399926837810675,-227.27058189656762,,False,False,True,True,True,False,False,,,
